Number,Left context,Match,Match2,Right context,Link,Query
141,"- ca, liOTiuHTbca, nOTiuaTtca;",Arab,,. YJB curatit; iliTO,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3346&zoom=width&showposition=0.778,0.435&highlight=1843,1800,54,23#Linde",Arab
143,", wiadom, świadom; cf.",Arab,,". VI2) schahad,","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3419&zoom=width&showposition=0.854,0.545&highlight=1998,1442,62,26#Linde",Arab
144,ob. Posłuch); cf.,Arab,,". ""inr sahedh,","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3420&zoom=width&showposition=0.341,0.566&highlight=784,1374,62,26#Linde",Arab
145,sarbitti; Ross. CBepÓHTb; [,Arab,,. 2"C tea,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3432&zoom=width&showposition=0.876,0.255&highlight=2063,2366,58,32#Linde",Arab
150,". Chald., Syr. et",Arab,,"lin chasar, albescere;","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3463&zoom=width&showposition=0.704,0.775&highlight=1643,708,73,26#Linde",Arab
151,; ^reng. [eittyen;,Arab,,. "jnffl lotium emisit,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3466&zoom=width&showposition=0.552,0.747&highlight=1288,795,61,26#Linde",Arab
152,shash ; Syr. r®;,Arab,,. no»' Hebr,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3489&zoom=width&showposition=0.514,0.709&highlight=1187,916,60,25#Linde",Arab
153,". Tl© schadad , vastavit;",Arab,,. nn© cor-,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3494&zoom=width&showposition=0.411,0.518&highlight=953,1528,59,25#Linde",Arab
154,". Hebr. chebel, iaęueus;",Arab,,. b^n retia,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3534&zoom=width&showposition=0.248,0.666&highlight=560,1053,62,26#Linde",Arab
155,", sjujan ; Anglos. siwan;",Arab,,. Uin chuth; Chald,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3535&zoom=width&showposition=0.194,0.737&highlight=429,827,62,26#Linde",Arab
158,", Samar., Syr. et",Arab,,". un tagar, mercaturam","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3560&zoom=width&showposition=0.942,0.770&highlight=2216,721,63,26#Linde",Arab
159,"un tagar, mercaturam. ezercuit;",Arab,,". TJKn taagar, merca","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3560&zoom=width&showposition=0.791,0.783&highlight=1856,678,62,26#Linde",Arab
160,. trom< peten; cf.,Arab,,. 2")!,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3599&zoom=width&showposition=0.584,0.683&highlight=1354,1000,63,26#Linde",Arab
161,"diruit, 1HD sethor, destruxit\",Arab,,. ")Nn taar,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3633&zoom=width&showposition=0.454,0.676&highlight=1048,1025,63,26#Linde",Arab
162,jnn tera; Syr. taro;,Arab,,. nmn . 1),"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3725&zoom=width&showposition=0.280,0.117&highlight=631,2808,69,29#Linde",Arab
163,Eccl. npoTHBoy4apaio odbijam; cf.,Arab,,. "ixri percussit Iuste,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3775&zoom=width&showposition=0.802,0.624&highlight=1885,1195,60,24#Linde",Arab
